home	Zuhause
house	Haus
flat	Wohnung
cottage	Hütte
farm	Bauernhof
apartment	Wohnung
stairs	Treppe
hallway	Flur
balcony	Balkon
courtyard	Hof
lock	sperren
key	Schlüssel
chimney	Kamin
roof	Dach
window	Fenster
doorbell	Türklingel
ceiling	Decke
chandelier	Leuchter
candle	Kerze
kitchen	Küche
microwave	Mikrowelle
oven	Ofen
hob	Kochfeld
toaster	Toaster
kettle	Kessel
dishwasher	Geschirrspüler
sink	sinken
tap	tippen
freezer	Gefrierschrank
fridge	Kühlschrank
plate	Teller
bowl	Schüssel
cup	Tasse
spoon	Löffel
knife	Messer
fork	Gabel
glass	Glas
teapot	Teekanne
table	Tabelle
cupboard	Schrank
mop	Mopp
broom	Besen
living room	Wohnzimmer
cushion	Kissen
armchair	Sessel
lamp	Lampe
lampshade	Lampenschirm
sofa	Sofa
curtain	Vorhang
vacuum cleaner	Staubsauger
television	Fernsehen
telephone	Telefon
clock	Uhr
radio	Radio
speaker	Redner
bedroom	Schlafzimmer
blanket	Decke
carpet	Teppich
rug	Teppich
mirror	Spiegel
alarm clock	Wecker
pillow	Kissen
duvet	Bettdecke
mattress	Matratze
sheet	Blatt
plug	Stecker
attic	Dachboden
boiler	Kessel
basement	Keller
study	Studie
bookcase	Bücherregal
fireplace	Kamin
bookcase	Bücherregal
shelve	Regal
cupboard	Schrank
drawer	Schublade
picture	Bild
computer	Computer
bathroom	Badezimmer
shower	Dusche
bath	Bad
plunger	Stößel
toilet	Toilette
towel	Handtuch
soap	Seife
shampoo	Shampoo
conditioner	Konditionierer
sponge	Schwamm
toothpaste	Zahnpasta
toothbrush	Zahnbürste
mouthwash	Mundwasser
garden	Garten
barbecue	Grill
patio	Terrasse
fence	Zaun
lawnmower	Rasenmäher
hose	Schlauch
wheelbarrow	Schubkarre
garage	Garage
